order_purchase_timestamp,payment_value
2018-01-31,1115004.18
2018-02-28,992463.34
2018-03-31,1159652.12
2018-04-30,1160785.48
2018-05-31,1153982.15
2018-06-30,1023880.5
2018-07-31,1066540.75
2018-08-31,1022425.32
2018-09-30,4439.54
2018-10-31,589.67
